Precinct,"BIRRING, Amrit Singh - PEOPLE'S COUNCIL SURREY","DHALIWAL, Sukh - UNITED SURREY","HOGG, Gordie - SURREY FIRST","LOCKE, Brenda - SURREY CONNECT","McCALLUM, Doug - SAFE SURREY COALITION","PELIA, Kuldip","SIMS, Jinny - SURREY FORWARD","WOLANSKI, John Milton"
GV01 Bridgeview Com,20,48,80,159,153,3,108,6
GV02 Chuck Bailey Rec Gym,38,103,226,384,449,12,268,10
GV03 AHP Matthew Elem,26,102,105,236,369,2,153,11
GV04 Old Yale Road Elem,43,142,212,387,508,13,299,12
GV05A LA Matheson Sec Small Gym,18,166,169,269,592,5,163,3
GV05B LA Matheson Sec Big Gym,38,217,107,306,974,3,191,9
GV06A Queen Elizabeth Sec Small Gym,16,107,53,101,509,0,92,6
GV06B Queen Elizabeth Sec Big Gym,22,132,101,207,626,2,114,7
GV07 Lena Shaw Elem,30,71,169,280,199,3,202,8
GV08 Guildford Park Sec Big Gym,49,101,244,451,364,15,266,29
GV09 Bonaccord Elem,25,45,181,380,250,2,217,10
GV10A Guildford Rec Gym 1,31,50,130,261,184,1,121,10
GV10B Guildford Rec Gym 2,28,62,189,281,199,10,196,12
GV11 Fraser Heights Rec,83,116,476,675,465,12,317,19
GV12 Bothwell Elem,38,50,160,261,159,3,72,5
GV13 Harold Bishop Elem,27,40,139,235,128,3,112,7
GV14 William F Davidson Elem,28,59,183,296,323,8,187,6
GV15 Berkshire Park Elem,42,86,281,457,446,6,219,11
GV16A Fleetwood Com Studio,29,49,180,223,243,7,154,15
GV16B Fleetwood Com Large Hall,50,113,409,546,718,6,298,15
GV17 Coast Meridian Elem,24,94,271,403,403,3,166,6
GV18 Fleetwood Park Sec,18,71,198,313,471,3,168,9
GV19 Green Timbers Elem,29,225,182,340,873,16,210,9
GV20 Maple Green Elem,28,118,201,321,684,4,179,6
GV21 Kennedy Trail Elem,14,162,60,215,291,2,120,4
GV22 Westerman Elem,5,146,52,105,323,1,100,3
GV23 Strawberry Hill Elem,5,216,71,101,477,1,98,1
GV24 Newton Elem,12,221,64,223,600,1,150,5
GV25 Frank Hurt Sec,40,181,153,385,650,9,243,11
GV26 Chimney Hill Elem,29,277,346,376,"1,161",3,272,6
GV27 Princess Margaret Sec Big Gym,15,303,73,178,716,1,159,0
GV28 Georges Vanier Elem,19,188,122,272,590,6,204,4
GV29 Cougar Creek Elem,18,193,111,156,391,4,182,3
GV30 Tamanawis Sec,3,328,89,151,829,4,179,1
GV31 Boundary Park Elem,24,184,260,486,447,4,239,4
GV32 Colebrook Elem,16,157,169,273,356,2,139,2
GV33 Ecole Panorama Ridge Sec,39,337,215,419,"1,033",4,327,14
GV34 Goldstone Park Elem,47,202,450,606,724,6,444,9
GV35 Ecole Woodward Hill Elem,27,217,214,250,588,4,278,3
GV36 Salish Sec,54,62,329,405,226,3,183,8
GV37 Surrey Centre,,,,,,,,
Elem,52,79,423,683,243,2,222,4
GV38A Cloverdale,,,,,,,,
Rec Gym 1,44,108,331,578,359,3,202,17
GV38B Cloverdale,,,,,,,,
Rec Gym 2,30,76,290,483,279,3,141,5
GV39 Adams Road,,,,,,,,
Elem,83,97,650,963,329,5,268,7
GV40 Maddaugh,,,,,,,,
Elem,27,23,85,153,68,5,74,2
GV41 Katzie Elem,103,113,577,905,328,11,294,17
GV42 Elgin Hall,28,44,408,428,129,1,91,11
GV43 Elgin Park Sec,15,43,561,358,149,2,89,6
GV44 Ocean Cliff,,,,,,,,
Elem,16,48,778,685,133,3,159,3
GV45 Ray Shepherd,,,,,,,,
Elem,35,33,612,454,104,2,140,4
GV46A Semiahmoo,,,,,,,,
Sec Small Gym,16,30,280,289,91,1,66,6
GV46B Semiahmoo,,,,,,,,
Sec Big Gym,19,22,314,291,88,3,72,11
GV47 Jessie Lee,,,,,,,,
Elem,45,56,821,813,181,10,216,11
GV48 Morgan Elem,80,103,"1,063",993,304,8,242,8
GV49 South Meridian,,,,,,,,
Elem,27,35,489,546,89,3,165,2
GV50 Edgewood,,,,,,,,
Elem,24,66,546,482,189,2,184,9
GV51 East,,,,,,,,
Kensington Elem,21,20,153,141,78,1,27,1
GV52 Douglas Elem,12,32,319,440,96,1,84,6
ADV80 Chuck Bailey,,,,,,,,
Rec Gym,48,286,466,725,"1,036",25,448,11
ADV81A Guildford,,,,,,,,
Rec MP Room,43,97,462,715,508,14,343,23
ADV81B Guildford,,,,,,,,
Rec Gym 3,43,186,500,850,635,7,455,24
ADV82A Fleetwood,,,,,,,,
Com Studio,40,167,591,681,999,12,323,16
ADV82B Fleetwood,,,,,,,,
Com Large Hall,27,286,731,"1,094","1,158",7,447,9
ADV83 Princess,,,,,,,,
Margaret Sec Small,50,"1,174",675,"1,023","2,891",9,791,21
Gym,,,,,,,,
ADV84A Cloverdale,,,,,,,,
Rec Gym 1,60,198,"1,185","1,875",781,3,445,28
ADV84B Cloverdale,,,,,,,,
Rec Gym 2,45,136,813,"1,108",544,14,269,18
ADV85 Semiahmoo,,,,,,,,
Sec Small Gym,68,203,"2,857","2,504",618,17,564,29
MAIL90 Election,,,,,,,,
Headquarters (ICC),22,127,512,678,240,14,285,18
