Precinct,"AGUIRRE, Philip - SURREY FORWARD","ANNIS, Linda - SURREY FIRST","ANTIFAEV, Debra Margaret - SAFE SURREY COALITION","ARCAND, Ben","BAINS, Harry - SURREY CONNECT","BANDONG, Ramon - SURREY FORWARD","BASSI, Shweta - PEOPLE'S COUNCIL SURREY","BENNETT, Nicole - UNITED SURREY","BOSE, Mike - SURREY FIRST","BRIDGE, Jeff - UNITED SURREY","CHEEMA, Bilal - SURREY FIRST","CHEEMA, Tejnoor Singh - PEOPLE'S COUNCIL SURREY","CHIMA, Sargy - SURREY FIRST","DELA CRUZ, Narima","DHANOYA, Nav"
GV01 Bridgeview Com,116,146,93,26,144,115,23,73,115,53,78,31,65,66,14
GV02 Chuck Bailey Rec Gym,331,359,276,59,367,283,66,162,285,140,239,82,215,173,33
GV03 AHP Matthew Elem,161,198,193,26,281,126,66,101,167,70,150,83,137,90,33
GV04 Old Yale Road Elem,303,379,304,46,392,284,78,163,303,133,255,93,211,184,42
GV05A LA Matheson Sec Small Gym,181,274,346,30,337,168,68,159,225,134,220,92,142,69,48
GV05B LA Matheson Sec Big Gym,225,257,542,51,458,187,116,196,217,175,202,138,125,109,62
GV06A Queen Elizabeth Sec Small Gym,93,109,290,21,186,82,44,82,103,78,96,63,55,50,22
GV06B Queen Elizabeth Sec Big Gym,133,209,369,27,284,122,68,121,177,105,142,76,102,100,37
GV07 Lena Shaw Elem,217,271,114,41,250,219,46,115,227,88,137,44,114,171,19
GV08 Guildford Park Sec Big Gym,328,401,195,80,385,301,67,174,350,140,216,83,163,254,35
GV09 Bonaccord Elem,286,309,125,54,344,297,39,128,273,95,132,49,111,227,21
GV10A Guildford Rec Gym 1,176,208,95,39,219,144,37,93,191,66,95,38,92,124,16
GV10B Guildford Rec Gym 2,246,258,99,42,250,253,31,120,215,99,127,39,106,205,28
GV11 Fraser Heights Rec,294,670,276,55,599,234,96,170,567,141,364,107,350,123,35
GV12 Bothwell Elem,82,251,90,42,221,69,49,85,201,63,142,51,117,51,13
GV13 Harold Bishop Elem,160,221,62,21,188,152,31,74,193,55,126,35,97,117,8
GV14 William F Davidson Elem,239,309,176,37,294,210,50,139,249,92,153,34,129,163,21
GV15 Berkshire Park Elem,272,446,234,47,445,218,53,148,365,127,233,71,199,182,21
GV16A Fleetwood Com Studio,188,269,139,31,212,166,36,90,225,71,153,41,126,125,18
GV16B Fleetwood Com Large Hall,394,592,429,62,559,344,74,234,514,166,352,100,287,272,34
GV17 Coast Meridian Elem,209,406,231,36,389,170,55,114,365,79,268,62,218,102,29
GV18 Fleetwood Park Sec,189,310,264,39,375,164,55,87,276,84,181,77,156,85,29
GV19 Green Timbers Elem,247,306,515,52,485,208,118,176,283,174,235,137,161,127,57
GV20 Maple Green Elem,220,335,404,33,392,175,73,122,323,110,264,98,182,99,29
