2022 Election COUNCILLOR Results by Location (Vote for  10)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"100 NARDI, Sean
(TEAM) ",,"101 OUELLETTE, Breen
(COPE) ",,,"102 HAYER, Asha
(Progress Vancouver) ",,"103 MONTAGUE, Brian
(ABC Vancouver) ",,,"104 ANDERSON, Dulcy
(Forward with Kennedy Stewart) ",,"105 TRUONG, Tesicca
(Forward with Kennedy Stewart) ",,"106 DENOFRIO, Dominic
 ",,"107 TRIGUEROS, Nancy
(COPE) ",,"108 ORR, Sean
(VOTE Socialist) ",,"109 MACKINNON, Stuart
(Vision Vancouver) ",,"110 VARGAS, Lina
 ",,"111 SINGH, Alvin
(Forward with Kennedy Stewart) ",,"112 BONAMIS, Iona
(OneCity) ",,"113 KIRBY-YUNG, Sarah
(ABC Vancouver) ",,"114 WIEBE, Michael
(GREEN) ",,"115 FOX, Amy ''Evil Genius''
 ",,"116 DE GENOVA, Melissa
(NPA) ",,"117 HE, May
(Progress Vancouver) ",,"118 WEBKING, Tanya
(COPE) ",,"119 ZHOU, Lenny
(ABC Vancouver) ",,"120 PEACOCK, Amie
 ",,"121 OGER, Morgane
(Progress Vancouver) ",,"122 CARR, Adriane
(GREEN) ",,"123 FRANSON, Marlo
 ",,"124 ALM, K R
 ",,"125 NORRIS, Matthew
(OneCity) ",,"126 MEISZNER, Peter
(ABC Vancouver) ",,"127 BROWN, Cleta
(TEAM) ",,"128 SINGH, Devyani
(GREEN) ",,"129 BOLDT, Lesli
(Vision Vancouver) ",,"130 REDMOND, Eric
(Affordable Housing Coalition ) ",,"131 DOMINATO, Lisa
(ABC Vancouver) ",,"132 KLASSEN, Mike
(ABC Vancouver) ",,"133 BOWEN, Mark
 ",,"134 BHAYANI, Cinnamon
(NPA) ",,"135 ROBERTS, Stephen P
(TEAM) ",,"136 SWANSON, Jean
(COPE) ",,"137 CROMWELL, Ian
(OneCity) ",,"138 CHARKO, Ken
(NPA) ",,"139 BOYLE, Christine
(OneCity) ",,"140 PHILBERT, Kyra
 ",,"141 SMITH, Stephanie
(GREEN) ",,"142 FRANCIS, Mauro
(Progress Vancouver) ",,"143 QUAN, Grace
(TEAM) ",,"144 NIJJAR, Param
(TEAM) ",,"145 ALLAN, Elaine
(NPA) ",,"146 ASHE, Jeanette
(Forward with Kennedy Stewart) ",,"147 TIELEMAN, Bill
(TEAM) ",,"148 BLIGH, Rebecca
(ABC Vancouver) ",,"149 BROWN, Hilary
(Forward with Kennedy Stewart) ",,"150 ZARRABIAN, Arezo
(NPA) ",,"151 FRY, Pete
(GREEN) ",,"152 LÝ, Tim
 ",,"153 MACKENZIE, Jeremy
 ",,"154 BARZEGARI, Honieh
(Vision Vancouver) ",,"155 WVONG, Russil
(Forward with Kennedy Stewart) ",,"156 CHIN, David
(Progress Vancouver) ",,"157 ROSA, Marie Noelle
(Progress Vancouver) ",,"158 LEE, Morning
(NPA) ",,Total Votes
1 - Prince of Wales Secondary School,985,"2,265",3,127,,61,,,56,,556,,,123,,129,,15,,53,,33,,67,,22,,104,,101,,559,,127,,12,,179,,47,,39,,508,,12,,31,,196,,11,,7,,84,,512,,150,,82,,32,,33,,554,,546,,45,,56,,120,,103,,89,,93,,113,,20,,95,,23,,141,,90,,67,,92,,119,,494,,85,,71,,160,,13,,24,,23,,82,,44,,36,,89,,"7,555"
2 - Carnarvon Community Elementary School,968,"2,214",2,188,,83,,,42,,444,,,151,,125,,21,,61,,39,,76,,16,,100,,145,,483,,167,,10,,171,,36,,63,,379,,4,,31,,248,,20,,7,,102,,409,,210,,118,,51,,38,,438,,421,,50,,36,,166,,136,,116,,84,,166,,4,,105,,22,,170,,144,,71,,94,,186,,395,,77,,63,,197,,12,,15,,30,,78,,31,,39,,62,,"7,446"
3 - Gathering Place Community Centre,665,"1,503",3,67,,97,,,55,,275,,,138,,131,,21,,78,,62,,56,,25,,126,,106,,285,,104,,21,,85,,30,,70,,232,,21,,59,,140,,12,,13,,112,,250,,56,,69,,34,,48,,266,,263,,29,,51,,43,,112,,91,,44,,110,,12,,81,,24,,53,,35,,49,,101,,50,,243,,92,,57,,129,,14,,17,,38,,96,,39,,44,,56,,"5,117"
4 - Carnegie Community Centre,627,"1,759",0,29,,220,,,52,,101,,,155,,131,,23,,206,,102,,44,,29,,136,,132,,107,,108,,45,,52,,34,,198,,87,,13,,48,,152,,15,,10,,139,,94,,30,,86,,26,,60,,102,,103,,13,,27,,30,,270,,138,,33,,165,,24,,94,,28,,22,,15,,29,,96,,27,,91,,93,,35,,150,,13,,15,,24,,88,,28,,45,,49,,"4,511"
5 - Coal Harbour Community Centre,"1,345","3,276",0,135,,155,,,98,,639,,,267,,237,,25,,98,,62,,93,,43,,237,,188,,606,,185,,20,,202,,72,,102,,544,,15,,59,,255,,23,,24,,152,,587,,148,,119,,72,,58,,599,,556,,60,,101,,119,,158,,182,,107,,194,,30,,115,,60,,110,,85,,124,,208,,111,,552,,173,,150,,228,,13,,31,,115,,202,,79,,92,,100,,"10,174"
6 - Crosstown Elementary School,730,"1,664",0,46,,112,,,69,,292,,,151,,150,,14,,87,,69,,68,,24,,143,,143,,299,,127,,23,,99,,34,,84,,243,,11,,57,,160,,10,,10,,143,,250,,56,,96,,65,,52,,283,,266,,19,,52,,32,,138,,125,,49,,166,,4,,98,,41,,56,,32,,44,,110,,41,,268,,91,,56,,155,,9,,7,,41,,103,,46,,50,,67,,"5,636"
7 - Vancouver Public Library - Central Branch,"1,113","2,353",1,79,,167,,,107,,434,,,296,,273,,36,,109,,97,,85,,34,,252,,239,,423,,189,,25,,152,,64,,107,,375,,16,,92,,239,,9,,15,,208,,402,,80,,121,,59,,96,,422,,386,,28,,85,,65,,178,,234,,92,,274,,27,,117,,65,,64,,41,,86,,213,,54,,377,,195,,101,,236,,12,,7,,68,,219,,74,,81,,86,,"8,767"
8 - Roundhouse Community Arts and Recreation Centre,"2,167","5,169",3,176,,229,,,179,,"1,063",,,399,,350,,42,,127,,119,,128,,63,,350,,295,,"1,059",,345,,35,,424,,94,,127,,927,,21,,138,,423,,40,,19,,263,,983,,203,,205,,109,,113,,"1,046",,970,,85,,179,,160,,234,,259,,184,,341,,37,,215,,83,,161,,118,,196,,304,,163,,935,,266,,212,,377,,31,,45,,118,,288,,111,,131,,174,,"16,471"
9 - Musqueam Community Centre,258,831,1,42,,22,,,13,,76,,,29,,25,,3,,11,,16,,25,,6,,28,,35,,99,,52,,7,,46,,8,,10,,70,,2,,13,,80,,1,,0,,36,,68,,52,,30,,15,,8,,89,,71,,6,,9,,36,,43,,31,,54,,59,,2,,27,,7,,34,,30,,13,,30,,35,,77,,23,,13,,67,,2,,5,,8,,19,,7,,4,,10,,"1,739"
10 - Lord Kitchener Elementary School,805,"1,635",2,162,,63,,,35,,379,,,116,,86,,12,,48,,25,,66,,20,,89,,115,,417,,160,,11,,161,,23,,45,,327,,2,,20,,223,,5,,8,,82,,337,,190,,91,,41,,33,,379,,344,,29,,50,,168,,135,,88,,141,,120,,13,,90,,19,,160,,125,,51,,74,,182,,356,,55,,50,,196,,3,,8,,20,,61,,27,,16,,43,,"6,395"
