2022 MAYOR Results by Location (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"50 SHOTTHA, Satwant
 ",,"51 STEWART, Kennedy
(Forward with Kennedy Stewart) ",,,"52 POPAT, Imtiaz
 ",,"53 HARDWICK, Colleen
(TEAM) ",,,"54 BROWN, Leona
 ",,"55 RAUNET, Françoise
 ",,"56 VILLEGAS, Lewis
 ",,"57 CHAN, Ping
 ",,"58 HARDING, Fred
(NPA) ",,"59 HANSEN, Mike
 ",,"60 CHARMLEY, Ryan
 ",,"61 BUDAY, Gölök Z
 ",,"62 TETI, Dante
 ",,"63 SIM, Ken
(ABC Vancouver) ",,"64 MARISSEN, Mark
(Progress Vancouver) ",,Total Votes
1 - Prince of Wales Secondary School,985,4,0,2,,168,,,0,,110,,,1,,3,,1,,0,,18,,1,,0,,0,,0,,656,,21,,981
2 - Carnarvon Community Elementary School,968,7,1,3,,185,,,0,,166,,,1,,4,,1,,3,,5,,2,,0,,1,,1,,562,,26,,960
3 - Gathering Place Community Centre,665,6,0,4,,202,,,4,,34,,,9,,3,,3,,5,,33,,2,,1,,2,,0,,333,,24,,659
4 - Carnegie Community Centre,627,34,0,7,,295,,,9,,29,,,19,,5,,5,,11,,18,,8,,3,,4,,4,,148,,28,,593
5 - Coal Harbour Community Centre,"1,345",9,0,3,,349,,,2,,98,,,12,,11,,7,,4,,42,,1,,2,,0,,3,,746,,56,,"1,336"
6 - Crosstown Elementary School,730,7,0,4,,218,,,3,,42,,,2,,6,,3,,4,,30,,0,,4,,2,,0,,371,,34,,723
7 - Vancouver Public Library - Central Branch,"1,113",9,2,1,,397,,,2,,55,,,8,,6,,0,,5,,54,,0,,1,,2,,2,,510,,59,,"1,102"
8 - Roundhouse Community Arts and Recreation Centre,"2,167",16,2,5,,497,,,5,,132,,,14,,7,,5,,11,,113,,1,,1,,4,,2,,"1,264",,88,,"2,149"
9 - Musqueam Community Centre,258,10,1,1,,73,,,0,,42,,,2,,2,,0,,2,,3,,1,,0,,0,,0,,115,,6,,247
10 - Lord Kitchener Elementary School,805,3,0,1,,145,,,1,,155,,,1,,3,,1,,3,,11,,0,,0,,1,,1,,466,,13,,802
11 - Dunbar Community Centre,"1,605",10,0,1,,293,,,1,,264,,,6,,0,,0,,6,,31,,0,,2,,2,,0,,947,,42,,"1,595"
12 - False Creek Elementary School,926,9,0,3,,370,,,0,,185,,,8,,2,,0,,3,,17,,0,,2,,0,,0,,295,,32,,917
