2022 Election PARK BOARD COMMISSIONER Results by Location  (Vote for  7)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"200 JENSEN, Scott
(ABC Vancouver) ",,"201 GIESBRECHT, Gwen
(COPE) ",,,"202 CHARRETTE, Nick
 ",,"203 DIGBY, Tom
(GREEN) ",,,"204 FRENKEL, Carla
(Vision Vancouver) ",,"205 UPTON, Jason
(NPA) ",,"206 PINOCHET-ESCUDERO, Andrea
(VOTE Socialist) ",,"207 LIVINGSTONE, Chris
(COPE) ",,"208 BARKER, Tricia
(TEAM) ",,"209 STOCKWELL, Caitlin
(OneCity) ",,"210 HOWARD, Marie-Claire
(ABC Vancouver) ",,"211 ROLLERGIRL
 ",,"212 IRWIN, John
(Vision Vancouver) ",,"213 JACKSON, Serena
(OneCity) ",,"214 CHRISTENSEN, Laura
(ABC Vancouver) ",,"215 RILEY, Tricia
(GREEN) ",,"216 VIRDI, Jas
(ABC Vancouver) ",,"217 HASSAN, Maira
(COPE) ",,"218 MENARD, Liam Murphy
 ",,"219 SEPTEMBER, Dehara
(NPA) ",,"220 ZARUDINA, Olga
(NPA) ",,"221 KIMURA, Kumi
(TEAM) ",,"222 LARSEN, Kathleen
(TEAM) ",,"223 MOLLINEAUX, Michelle
(TEAM) ",,"224 PASIN, Dave
(NPA) ",,"225 BUCKSHON, James
(TEAM) ",,"226 RIVERS, Tiyaltelut Kristen
(OneCity) ",,"227 AUDLEY, Patrick
(TEAM) ",,"228 BASTYOVANSZKY, Brennan
(ABC Vancouver) ",,"229 HAER, Angela Kate
(ABC Vancouver) ",,"230 SMITH, Tracy D
 ",,"231 CRAIG, Steven
 ",,Total Votes
1 - Prince of Wales Secondary School,985,"1,674",1,544,,95,,,25,,182,,,98,,77,,40,,88,,156,,116,,478,,18,,101,,102,,494,,170,,451,,83,,38,,50,,51,,126,,136,,114,,63,,90,,96,,94,,465,,500,,34,,39,,"5,214"
2 - Carnarvon Community Elementary School,968,"1,613",2,443,,132,,,18,,203,,,106,,87,,47,,115,,217,,138,,397,,17,,124,,103,,410,,190,,355,,91,,36,,42,,40,,165,,192,,172,,65,,134,,125,,138,,375,,391,,48,,33,,"5,149"
3 - Gathering Place Community Centre,665,"1,291",1,297,,100,,,29,,139,,,94,,66,,57,,101,,79,,129,,248,,35,,93,,118,,235,,145,,217,,99,,41,,61,,49,,47,,58,,43,,41,,33,,114,,38,,240,,240,,32,,39,,"3,357"
4 - Carnegie Community Centre,627,"1,458",0,121,,250,,,18,,153,,,97,,48,,92,,265,,43,,160,,86,,76,,107,,164,,100,,147,,81,,220,,34,,34,,22,,42,,33,,26,,38,,20,,173,,33,,84,,90,,41,,33,,"2,931"
5 - Coal Harbour Community Centre,"1,345","2,624",1,601,,155,,,46,,283,,,174,,119,,83,,160,,178,,216,,545,,25,,178,,165,,543,,274,,498,,149,,75,,88,,91,,138,,151,,118,,100,,103,,195,,124,,518,,536,,67,,88,,"6,784"
6 - Crosstown Elementary School,730,"1,312",0,302,,141,,,16,,182,,,135,,69,,63,,147,,68,,171,,269,,28,,129,,141,,262,,180,,233,,132,,37,,60,,55,,54,,62,,25,,43,,22,,154,,30,,262,,275,,24,,27,,"3,798"
7 - Vancouver Public Library - Central Branch,"1,113","2,094",0,463,,179,,,32,,282,,,169,,98,,118,,189,,114,,276,,414,,31,,176,,229,,423,,266,,359,,167,,42,,86,,78,,88,,86,,71,,84,,43,,240,,59,,355,,398,,40,,42,,"5,697"
8 - Roundhouse Community Arts and Recreation Centre,"2,167","4,208",5,"1,059",,246,,,64,,420,,,244,,207,,120,,231,,248,,338,,948,,57,,257,,298,,943,,403,,877,,209,,110,,169,,141,,173,,231,,140,,201,,133,,310,,159,,889,,920,,76,,105,,"10,926"
9 - Musqueam Community Centre,258,596,1,71,,26,,,3,,54,,,25,,18,,14,,24,,78,,49,,67,,6,,30,,32,,67,,57,,52,,26,,9,,5,,7,,126,,49,,45,,13,,35,,43,,32,,56,,67,,11,,6,,"1,203"
10 - Lord Kitchener Elementary School,805,"1,202",1,354,,111,,,8,,176,,,85,,70,,31,,95,,213,,115,,331,,10,,99,,95,,340,,182,,295,,84,,33,,37,,34,,161,,174,,154,,65,,128,,110,,134,,283,,339,,44,,36,,"4,426"
