2022 Election SCHOOL TRUSTEE Results by Location (Vote for  9)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"300 RICHARDSON, Christopher JK
(ABC Vancouver) ",,"301 FEDORA, Aaron
(NPA) ",,,"302 CHAN-PEDLEY, Lois
(GREEN) ",,"303 THOMSON, Hilary
(Vision Vancouver) ",,,"304 MAH, Suzie
(COPE) ",,"305 TENGCO, Amanda
 ",,"306 LEUNG, Aaron
(Vision Vancouver) ",,"307 ZEIDLER, Karina
(VOTE Socialist) ",,"308 HOPKINS, Heming
 ",,"309 LITZCKE, Karin
 ",,"310 TRIGUEROS, Rocco
(COPE) ",,"311 AGGARWAL, Rahul
(NPA) ",,"312 MCARTHUR, Kera
(Vision Vancouver) ",,"313 CHIEN, Alfred
(ABC Vancouver) ",,"314 FARIDKOT, Preeti
(ABC Vancouver) ",,"315 FRASER, Janet
(GREEN) ",,"316 JUNG, Victoria
(ABC Vancouver) ",,"317 SIGURDSON, Krista
(OneCity) ",,"318 EPSTEIN, Kyla
(OneCity) ",,"319 VAUGHAN, Ashley
(NPA) ",,"320 REDDY, Jennifer
(OneCity) ",,"321 GOODINE, Nadine C
(NPA) ",,"322 SOMERS, Gavin
(OneCity) ",,"323 BROWN, Rory
(OneCity) ",,"324 LEVINE, Zelda
 ",,"325 KLJAJIC, Milan
(NPA) ",,"326 CARDWELL, Steve
(Vision Vancouver) ",,"327 POPPELL, Nick
(GREEN) ",,"328 ZHANG, Josh
(ABC Vancouver) ",,"329 WONG, Allan
(Vision Vancouver) ",,"330 ALAM, Matiul
(TEAM) ",,Total Votes
1 - Prince of Wales Secondary School,985,"3,415",4,489,,112,,,169,,115,,,167,,39,,125,,59,,29,,49,,78,,108,,96,,539,,499,,169,,529,,137,,134,,120,,140,,101,,104,,130,,43,,89,,120,,115,,519,,166,,125,,"5,414"
2 - Carnarvon Community Elementary School,968,"3,199",1,419,,82,,,219,,147,,,212,,43,,140,,55,,24,,39,,113,,87,,124,,416,,399,,236,,439,,184,,173,,96,,208,,98,,133,,183,,38,,73,,196,,156,,401,,186,,185,,"5,504"
3 - Gathering Place Community Centre,665,"2,302",2,255,,77,,,148,,116,,,130,,48,,96,,82,,42,,39,,106,,75,,82,,237,,240,,150,,257,,116,,128,,75,,130,,67,,120,,112,,42,,60,,112,,114,,240,,103,,66,,"3,665"
4 - Carnegie Community Centre,627,"2,375",1,105,,44,,,158,,109,,,240,,38,,109,,114,,42,,36,,224,,45,,94,,111,,93,,168,,104,,162,,159,,47,,169,,49,,148,,150,,37,,35,,111,,129,,91,,93,,45,,"3,259"
5 - Coal Harbour Community Centre,"1,345","5,053",0,519,,141,,,273,,185,,,209,,77,,160,,106,,55,,71,,172,,159,,162,,542,,536,,273,,545,,226,,207,,152,,238,,130,,160,,213,,88,,129,,222,,209,,535,,191,,167,,"7,052"
6 - Crosstown Elementary School,730,"2,437",1,261,,68,,,193,,126,,,170,,22,,110,,69,,34,,29,,131,,70,,111,,252,,260,,175,,262,,173,,164,,75,,191,,61,,153,,165,,25,,58,,132,,147,,244,,126,,67,,"4,124"
7 - Vancouver Public Library - Central Branch,"1,113","3,899",1,384,,101,,,276,,172,,,234,,41,,182,,113,,37,,32,,175,,111,,155,,402,,369,,252,,411,,289,,260,,97,,275,,85,,224,,245,,32,,92,,214,,190,,374,,183,,102,,"6,109"
8 - Roundhouse Community Arts and Recreation Centre,"2,167","7,848",6,926,,242,,,420,,318,,,294,,118,,282,,175,,68,,120,,235,,257,,235,,951,,943,,404,,"1,011",,377,,338,,246,,395,,243,,291,,326,,119,,225,,311,,328,,932,,292,,179,,"11,601"
9 - Musqueam Community Centre,258,"1,085",1,76,,20,,,53,,31,,,43,,9,,30,,21,,7,,11,,26,,16,,27,,78,,73,,70,,84,,53,,41,,28,,53,,25,,38,,48,,10,,22,,41,,35,,72,,33,,54,,"1,228"
10 - Lord Kitchener Elementary School,805,"2,658",0,354,,66,,,191,,113,,,151,,28,,104,,48,,22,,28,,93,,97,,90,,375,,345,,219,,397,,154,,138,,102,,146,,100,,94,,129,,26,,65,,132,,135,,346,,133,,166,,"4,587"
